,num_cores,core_freq,gpu_freq,emc_freq,cache_pressure,swappiness,dirty_ratio,dirty_bg_ratio,drop_caches,policy,sched_rt_runtime,sched_child_runs_first,memory_growth,inference_time,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,instructions,irq_handler_entry,irq_handler_exit,softirq_entry,softirq_exit,softirq_raise,major-faults,migrations,sys_enter,sys_exit,sched_boost_cpu,sched_boost_task,sched_migrate_task,sched_process_exec,sched_process_exit,sched_process_fork,sched_process_free,sched_process_wait,sched_stat_runtime,sched_wakeup,sched_wakeup_new,sched_waking,total_energy_consumption
1314,4,115200,114750000,1866000000,500,60,5,80,0,0,500000,1,0.5,45.182186029851785,578500209,1055722455,1034596314,77649712,1738977771,121806215,551479353,712694823,5580,14990605595,4782182908,4293,4293,4774,4774,4866,0,809,52680,52160,4426,4438,1040,511,521,520,69,509,7771762624,6947,1040,7962,72754
1315,3,2265600,828750000,1600000000,500,60,50,80,3,0,500000,0,0.9,11.808643371488373,329852269,718462983,688373883,37907254,1022953268,50180679,324330285,461914430,1742,6796936065,2997063749,1524,1524,2092,2092,2120,0,250,27335,27163,1154,1389,220,163,173,172,23,161,3564916032,2066,344,2565,29362
1316,2,1420800,905250000,1065600000,500,100,5,80,0,1,500000,0,0.5,15.681811402708599,346075845,753530711,730414466,42975790,1076591941,53097085,340293211,487788539,2759,8775851238,3251388753,1766,1766,2872,2872,2912,41,296,28349,28165,2251,2135,241,175,185,184,25,173,4932125984,3888,368,4480,30290
1317,3,576000,1236750000,1866000000,0,10,50,80,0,0,500000,1,0.9,8.983976896611509,307986644,703708685,639899706,40057705,987255780,56331028,322180097,457136164,1263,6207519419,2969730143,1033,1033,1911,1911,1934,0,265,25694,25546,1445,1070,220,139,149,148,25,137,3232547616,1585,296,1897,24938
1318,2,883200,1377000000,1065600000,0,60,50,80,0,0,500000,1,-1.0,15.100200118248559,355681523,761844556,737212225,41537947,1162370981,57712029,339900292,486121439,1942,8609711613,3239058569,1600,1600,2713,2713,2757,0,394,29938,29730,2054,1803,276,199,209,208,35,197,4794137824,2329,416,2732,30892
1319,2,729600,522750000,1331200000,0,100,50,10,0,1,500000,1,0.5,21.126222244557123,420509357,841187885,796542871,52464730,1211673027,67032739,410534490,533688446,4100,9360757843,3579702009,2459,2459,3459,3459,3515,41,542,33903,33647,2994,2486,534,247,257,256,27,245,5507422784,5519,512,5927,34399
1320,3,883200,1338750000,2133000000,0,100,5,10,0,1,500000,0,0.9,13.338087457121313,335232117,741024703,683009506,40548623,1014928684,52028908,343688641,477268722,2162,6689343844,3139931366,1079,1079,2289,2289,2316,41,268,26507,26347,2005,1141,195,151,161,160,13,149,3683043264,3325,320,3670,25086
1321,3,1267200,216750000,665600000,500,100,5,10,0,1,950000,0,-1.0,23.88932796595641,510190845,964895432,949090367,61767583,1427995579,90033789,508535066,628911095,5862,16583699820,4266694242,4673,4673,5530,5530,5621,41,641,42063,41687,4795,4138,682,367,377,376,67,365,8880266816,7186,752,8433,58176
1322,2,115200,1236750000,408000000,100,10,5,80,0,0,950000,0,-1.0,26.466246016794692,477910190,942190978,884630835,58362048,1560486036,76779970,481228395,606547390,5010,23632932593,4063036695,4877,4877,7024,7024,7221,0,867,39208,38880,5746,4469,492,319,329,328,89,317,13749218816,5679,656,5938,58449
1323,4,2112000,420750000,1600000000,0,100,50,80,0,1,950000,0,0.5,15.082144854341747,371112617,791304769,739224629,48123419,1100218953,63567471,374509367,520638919,2669,8202357355,3366630383,1589,1589,2772,2772,2803,41,301,30731,30511,2113,1465,335,211,221,220,23,209,4384546624,3906,440,4596,36061
1324,3,268800,216750000,1600000000,100,10,5,10,0,0,500000,0,0.9,22.42945596188758,424285097,862333720,823775025,61713332,1301234794,93578248,422271960,572483059,3671,10058955150,3824422630,2909,2909,3176,3176,3227,0,565,37983,37655,2841,3021,570,319,329,328,46,317,5288593408,4444,656,4953,47805
1325,3,1881600,624750000,1331200000,100,100,50,80,0,1,500000,0,0.9,12.53667993815582,369884539,793059005,768156102,46846890,1146408242,57860707,382654409,507555592,3150,8590031568,3371029861,1934,1934,2988,2988,3027,41,290,30152,29944,2285,1980,283,199,209,208,27,197,4756692768,4339,416,4939,33944
1326,2,115200,1198500000,800000000,100,100,50,80,3,0,950000,0,0.5,14.895242677676302,353040338,763351935,748201204,41782640,1248261758,58412856,344982323,493149721,2853,11568625346,3285939622,2263,2263,3272,3272,3354,0,482,30362,30154,2846,2447,314,199,209,208,42,197,6224507168,3255,416,3383,36072
1327,2,345600,1032750000,1065600000,0,60,5,80,0,0,500000,0,-1.0,15.016463280510642,344967993,738820863,721699616,45373006,1125910921,60495873,339676382,479964151,2347,8826578358,3227325799,1905,1905,2625,2625,2662,0,428,28959,28763,2130,2064,251,187,197,196,29,185,4830340160,2645,392,2901,31205
1328,3,729600,318750000,2133000000,500,60,50,80,3,0,950000,0,-1.0,17.411878046624544,394315566,789537229,766576859,43698020,1136372042,70200488,386766442,503746420,2332,7443391459,3358014633,1775,1775,2522,2522,2561,0,386,32087,31843,1942,2353,416,235,245,244,31,233,3914281792,2856,488,3333,36822
1329,2,2265600,1032750000,800000000,100,60,50,10,3,1,500000,0,0.5,13.990277553135984,363591607,777071817,731414785,43928529,1136373603,62606052,365835467,502202724,2929,11201333024,3354670339,2018,2018,3635,3635,3691,41,429,30073,29865,2292,1520,463,199,209,208,42,197,6006552992,4206,416,4711,34552
