num_cores,core_freq,gpu_freq,emc_freq,cache_pressure,swappiness,dirty_ratio,dirty_bg_ratio,drop_caches,policy,sched_rt_runtime,sched_child_runs_first,memory_growth,inference_time,total_energy_consumption,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,instructions,irq_handler_entry,irq_handler_exit,softirq_entry,softirq_exit,softirq_raise,major-faults,migrations,sys_enter,sys_exit,sched_boost_cpu,sched_boost_task,sched_migrate_task,sched_process_exec,sched_process_exit,sched_process_fork,sched_process_free,sched_process_wait,sched_stat_runtime,sched_wakeup,sched_wakeup_new,sched_waking
2,1881600,1300500000,800000000,0,10,50,50,0,1,500000,0,0.5,42.7694548864511,622326,721374916,11615236266,3290332131,105496383,7280041290,96740813,334418677,9306986681,61710,140267152302,9569746170,38625,9445,44534,26035,45497,56,1274,248147,102565,0,77192,8632,2923,4044,1118,560,3684,25822283213,66058,4126,27280
3,1728000,624750000,1866000000,0,60,50,5,0,0,500000,0,-1,53.4460746659733,1349270,839626508,6895313283,6492851617,155017017,4559258912,150473315,941542298,7634840606,62090,25538448974,15535568223,16433,50189,41055,61572,49605,7,6718,233461,294822,0,20417,2867,3886,2413,3049,118,1110,101011296815,60061,780,61534
4,1420800,930750000,1331200000,0,10,50,50,3,0,500000,1,0.9,26.5553107995099,911540,1073002934,10336683802,9357540358,96356556,4625322205,90861499,889744368,9763204939,43837,20072913200,18586230612,41931,48462,66840,47337,16728,6,9628,190269,83261,0,80993,7128,3769,3105,1982,418,1484,107189518968,78136,1471,55243
4,1574400,1236750000,1866000000,0,60,50,5,0,0,950000,1,0.5,124.233615267221,926038,452619926,8388218583,11144722525,99076965,4250573450,122898191,340413643,11669629380,7919,167452066129,8021843480,37449,31249,46496,69707,38473,15,8400,301098,242279,0,63494,3084,3531,1687,3337,3,2586,55817448434,34347,3499,59582
1,1881600,1300500000,665600000,0,10,50,50,0,0,950000,0,-1,111.521128760206,1000065,1659299424,3177598495,5454470527,100820190,4513753639,100335836,745106778,7938818437,88783,65557298669,30618527172,56962,20299,23741,71179,13622,45,7208,81026,126275,0,53153,9898,766,1661,3744,574,1740,38142471997,59815,4000,9488
3,1420800,1134750000,1062400000,0,60,5,50,0,1,500000,1,-1,148.845006272295,458866,340503766,11850496101,9676565890,65328047,5620015511,120309419,682901895,4551292985,49753,110432757030,24554064688,54304,36157,66402,39327,62881,122,1888,250144,272918,0,69606,3895,4064,1936,1972,845,3007,76602954298,75532,1643,81002
3,1728000,828750000,800000000,0,60,50,50,0,1,950000,0,0.9,37.9079501206147,1380390,1058950364,11410092355,5351226640,55027878,7459272144,56111981,941952443,3632527129,96077,142081383411,16448427811,21039,62291,10948,49393,52588,71,6225,81154,74873,0,21320,8239,4016,4198,2919,319,1196,99487496194,71696,1652,61031
2,1267200,1032750000,1062400000,0,60,50,5,3,1,500000,1,-1,75.7537374591506,711194,507800876,6312429878,9952815620,62119143,6540369389,125191151,1005846462,4546704980,38048,53583169085,31945606023,59437,46374,9949,65856,36880,102,257,181662,242539,0,43640,1661,1787,2156,2561,307,949,86006743384,70921,1269,83222
2,806400,828750000,1600000000,0,60,5,5,3,1,500000,1,-1,59.8855690673104,947108,1284876178,6309206786,6022809013,44129907,4879878994,56235299,1445456880,5119124677,49388,84291457651,21020372497,13217,35702,70827,13648,55571,209,2437,280717,138876,0,8658,665,2500,2314,3855,686,4075,59186491927,32622,3141,10455
2,1113600,828750000,800000000,0,60,50,5,3,1,950000,1,0.5,75.8157787004964,728120,1255339392,8949399067,11470245979,83017168,3519516452,46356877,579175752,10310676878,35730,71181327194,30763629372,4907,42019,22267,46749,53566,203,6419,113846,130542,0,40225,1182,1344,1928,2402,25,3269,107652790050,31647,1368,20919
3,2035200,1236750000,800000000,0,10,50,5,3,1,950000,1,0.5,49.3192329291643,662360,954387841,5152550455,5102618177,71340533,5303380785,134566838,1058501119,4939379503,44402,125416721649,11181363219,12817,46560,9210,45306,45478,189,3983,235451,177208,0,56197,8836,1864,3187,1130,89,896,73058117447,10346,3312,52311
4,1420800,1300500000,1866000000,0,60,5,50,3,1,500000,1,0.9,67.998515745901,464545,1528622614,11696805132,10002869903,126667095,5869270902,103186097,747090179,9441369468,27456,47273160554,26865407372,20436,56562,40154,14343,32244,31,4495,205178,186855,0,29720,8909,1627,2638,2427,165,3404,18114477380,9932,836,21502
2,345600,1032750000,1600000000,0,60,5,50,3,0,500000,1,-1,162.812527771564,439837,346290506,11108101690,5182535148,113968733,8115349848,103033966,1501154883,7720262286,95291,49821049559,29629566057,18415,6356,14607,57506,48458,151,4041,111032,154992,0,58254,8232,1383,1229,3100,324,2813,25663558594,28917,3409,21145
2,2035200,624750000,1866000000,0,10,50,50,0,0,950000,0,0.9,120.310729204033,1182517,1371286053,6883576261,2414096705,128113169,3557121980,106856329,513636845,5895159569,70128,170937281442,28381140985,36378,47695,41939,22502,34171,48,7226,112541,239184,0,66993,9828,1157,3107,3735,778,3337,107526885108,52730,1459,53435
2,806400,1134750000,800000000,0,60,5,50,3,1,500000,0,0.5,122.279839954021,421717,814030478,11271431734,7062237868,145791663,5365715864,151477557,1404273852,10807614477,60063,166278018876,20620893473,23186,11037,45674,14113,20069,84,1910,167562,126743,0,17158,276,4011,2760,4108,448,784,98257707950,8853,2394,21388
1,1881600,1300500000,665600000,0,10,50,50,0,0,950000,0,-1,82.5996995195802,618817,1630837355,8262919135,7296604171,89723812,3250034251,40901599,1184560375,10351483117,90128,167502077120,9439671432,42853,13500,70847,46781,55140,65,8202,225467,115385,0,39016,2983,1262,842,2492,285,4162,48501254447,60380,796,74634
3,1728000,1134750000,665600000,0,100,5,5,3,1,500000,1,-1,166.072364138034,718387,1108140955,6124313472,2627362156,139100548,6321851973,110800168,645634515,8532721342,9798,86007914620,11546419886,65182,4400,19536,35699,41433,80,2693,207869,178434,0,22000,859,1912,2722,2636,245,3858,60867484240,51802,1303,49553
2,960000,726750000,1062400000,0,60,50,50,0,1,500000,0,-1,163.61388470023,467925,1265353409,7987947284,7069061661,96807176,2108991298,95834822,636144782,3238095590,10282,103277700870,5785219793,14661,22233,13195,41632,39408,31,8671,222648,86059,0,46202,2442,1353,1649,1498,238,3996,24004054500,49846,1321,37562
