num_cores,core_freq,gpu_freq,emc_freq,cache_pressure,swappiness,dirty_ratio,dirty_bg_ratio,drop_caches,policy,sched_rt_runtime,sched_child_runs_first,memory_growth,inference_time,total_energy_consumption,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,instructions,irq_handler_entry,irq_handler_exit,softirq_entry,softirq_exit,softirq_raise,major-faults,migrations,sys_enter,sys_exit,sched_boost_cpu,sched_boost_task,sched_migrate_task,sched_process_exec,sched_process_exit,sched_process_fork,sched_process_free,sched_process_wait,sched_stat_runtime,sched_wakeup,sched_wakeup_new,sched_waking
3.0,1574400,1300500000,1600000000,0,10,50,50,0,1,500000,1,0.9,11.221617937088,200995,167615648,1680587452,1658699362,31577557,811491276,31898192,170215635,1659461129,5602,16586224077,3647427531,4782,4782,5801,5801,5893,3,675,33683,33403,0,5894,979,271,281,280,40,269,10580183648,4632,280,4632
4.0,1113600,624750000,1331200000,0,60,50,5,0,0,500000,1,-1.0,17.5828840732574,172587,215854475,2211808783,2187189562,33497910,1378116200,34293195,215918323,2222269962,4847,9461490761,5493523121,3063,3063,6022,6022,6168,0,1149,45341,44905,0,9625,1328,427,437,436,113,425,8836558720,4739,436,4739
1.0,2035200,1300500000,665600000,0,100,50,5,3,1,950000,1,-1.0,24.1411817073822,146142,201037216,1818434414,1817457922,38595593,895477821,38400360,210823466,1817656786,16186,28947056603,3949093390,9414,9414,9793,9793,9999,0,0,46250,45916,0,10026,1,325,335,334,4,323,14319833728,12780,334,12780
3.0,1728000,1032750000,1600000000,0,10,50,5,0,1,950000,0,0.9,11.790329933166499,181942,174803927,1647254388,1639154739,32152997,792704558,31695119,170836914,1597493579,5135,20344071540,3487447598,5203,5203,5662,5662,5757,0,615,34031,33739,0,5409,821,283,293,292,57,281,10155678176,4812,292,4812
3.0,806400,1236750000,1062400000,0,60,50,5,0,1,500000,0,0.9,17.1321918964386,208407,220212713,2045658238,2030012036,34803034,1206782397,34733346,215989041,2042558549,7401,9110423020,4873094724,4483,4483,7413,7413,7597,0,1271,43538,43114,0,11371,1323,415,425,424,86,413,11629992160,6611,424,6611
1.0,345600,1300500000,1062400000,0,60,50,50,3,1,500000,0,0.9,15.7794895172119,217089,190586842,1523207635,1506932032,32854754,773288874,32568268,188764762,1530489648,5589,9254510236,3526334137,3091,3091,4017,4017,4131,5,0,39001,38613,0,4111,1,379,389,388,1,377,5752708608,5438,388,5438
1.0,806400,1032750000,1331200000,0,10,5,50,3,1,950000,1,0.5,22.6782176494598,137271,210727593,1857802796,1854801761,39222163,904070663,38708143,211087064,1852106416,15767,18322281854,4060064819,8300,8300,8420,8420,8586,34,0,46700,46354,0,8609,4,337,347,346,6,335,11873478400,10833,346,10833
1.0,652800,1300500000,1062400000,0,10,50,5,0,0,500000,0,-1.0,15.605678796768201,229772,194521768,1516810835,1540665682,32229216,765568195,32180170,185836565,1493079209,5655,10231885015,3426682103,3123,3123,3954,3954,4057,18,0,38982,38594,0,3888,3,379,389,388,5,377,5423679584,5201,388,5201
3.0,806400,1236750000,1866000000,0,10,50,50,0,1,950000,0,-1.0,10.929757595062302,201727,156389804,1549481302,1548126190,30685859,771321298,31134136,154679490,1574976819,3219,15232503188,3455303309,3286,3286,5508,5508,5611,0,519,32767,32499,0,5317,797,259,269,268,72,257,9823874496,2979,268,2979
2.0,1113600,1236750000,665600000,0,10,5,5,0,1,950000,1,-1.0,22.9037735462189,229463,292086869,2267004729,2295745619,42958296,1170292112,42677723,297167344,2287698269,17232,26796640962,5111338529,13101,13101,12254,12254,12486,5,1231,53643,53117,0,6241,1958,517,527,526,123,515,24574980864,12467,526,12467
3.0,345600,1134750000,1866000000,0,60,50,5,0,1,950000,0,0.9,11.224141836166401,194906,143796853,1581707511,1575757401,29132512,950876048,29127544,147790739,1579843532,3139,7042223683,3652151608,1753,1753,3122,3122,3200,2,787,33281,33001,0,5036,819,271,281,280,44,269,4742279072,2751,280,2751
1.0,1267200,930750000,800000000,0,60,50,50,0,0,950000,1,-1.0,23.9553265571594,130116,214254216,1932180910,1928789857,39588137,949227113,39069211,216035976,1920448531,18709,24958890644,4166380463,11136,11136,9977,9977,10232,1,0,49321,48969,0,11390,7,343,353,352,11,341,14549372128,15098,352,15098
3.0,1728000,1134750000,800000000,0,10,50,5,0,1,950000,1,-1.0,16.0893981456757,211528,206915633,1848089713,1821881803,35201448,979459667,35487832,222372668,1871149332,5775,22565164185,4174535682,6899,6899,7434,7434,7587,0,895,41988,41588,0,7839,1330,391,401,400,74,389,13267676160,6813,400,6813
2.0,1420800,1032750000,800000000,0,60,50,5,0,1,950000,1,-1.0,16.4160289764404,192420,226521343,1921537406,1939880876,37539290,953359308,37683087,229209766,1917172760,8706,30811573386,4263482962,7468,7468,9388,9388,9575,16,816,41888,41488,0,4599,1403,391,401,400,75,389,17745368672,7094,400,7094
2.0,1420800,624750000,1600000000,0,10,5,5,0,1,950000,0,0.5,17.2541942596436,184457,240669369,2032212009,2045034630,36737843,1008228890,36697387,238915136,2001186091,8878,19420262863,4377747889,6905,6905,7606,7606,7781,31,907,42713,42289,0,4088,1193,415,425,424,68,413,13749733440,7398,424,7398
2.0,1881600,624750000,1600000000,0,100,50,5,0,1,950000,0,-1.0,16.6179986000061,190751,229845213,1951464492,1940357272,35910561,958062933,35956939,225255514,1954072404,6563,26096449139,4306115598,5663,5663,7284,7284,7458,3,674,41694,41282,0,2934,1200,403,413,412,73,401,13845073152,5468,412,5468
3.0,1881600,726750000,800000000,0,10,5,5,0,1,950000,1,0.5,18.2160625457764,187978,247288202,2122605074,2162506027,37217015,1077846308,37055679,245762226,2121584434,8436,36600914179,4633063356,8320,8320,10613,10613,10779,0,939,45552,45104,0,9549,1515,439,449,448,112,437,19527078272,7357,448,7357
4.0,345600,1236750000,1866000000,0,60,50,5,0,0,500000,0,0.5,30.6730463504791,350153,428590701,3468762324,3474768294,51439515,2114757277,51269139,430358421,3473635831,34556,13811637651,8413815293,23378,23378,22511,22511,22860,0,2553,70648,69900,0,44113,3304,739,749,748,228,737,40549475968,27026,748,27026
2.0,960000,1300500000,665600000,0,10,50,5,3,1,500000,1,-1.0,18.9048228263855,226428,227642742,1934386804,1963022609,36881952,1134885876,36704964,229345382,1935838578,8110,12736202880,4637964621,8086,8086,6086,6086,6279,35,1032,45709,45249,0,5015,1182,451,461,460,64,449,9353170752,10254,460,10254
2.0,960000,1134750000,1866000000,0,10,5,5,0,0,500000,1,-1.0,11.5940968990326,201751,168048798,1555098864,1512793870,30975238,763688840,31250621,167731506,1536581895,5405,12351855054,3384187072,3797,3797,4297,4297,4408,0,548,34115,33823,0,2590,862,283,293,292,33,281,7357027008,4319,292,4319
1.0,1574400,624750000,1062400000,0,100,5,5,0,0,950000,0,-1.0,19.6771910190582,172697,229888126,1872415081,1870073984,37529821,913857503,37450589,225786633,1888842202,9713,24030464807,4196140217,6607,6607,8426,8426,8628,0,0,43517,43093,0,7241,0,415,425,424,4,413,12187619040,9173,424,9173
4.0,960000,1032750000,665600000,0,10,5,5,3,1,500000,0,-1.0,20.580855607986397,205254,274608363,2249872958,2238562506,39757081,1242889600,39667042,269259378,2267707490,8451,22884123908,5192324994,10985,10985,12811,12811,12995,2,1152,50466,49958,0,13001,1823,499,509,508,114,497,23919695136,9400,508,9400
2.0,2035200,1236750000,1062400000,0,10,5,5,3,1,500000,1,0.9,13.4222726821899,197554,170013495,1486616382,1526557729,30928941,804689738,30853096,166839426,1488073982,5461,9430100938,3454302704,6490,6490,3115,3115,3215,0,502,36430,36102,0,2539,663,319,329,328,41,317,4963339968,7286,328,7286
